DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-13;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-16;1
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-16;F7826DA6-4FA2-4E98-8024-BC5B71E0893E-16966-43918;3
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-16;F7826DA6-4FA2-4E98-8024-BC5B71E0893E-16966-43918;2
F7826DA6-4FA2-4E98-8024-BC5B71E0893E-16966-43918;B9407F30-F5F8-466E-AFF9-25556B57FE6D-36295-11950;2
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-42;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-43;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-43;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-45;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-45;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-44;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-44;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-50;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-50;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-49;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-49;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-48;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-48;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-47;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-47;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-46;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-46;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-40;3.6
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-40;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-38;9.9
DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-38;DEADBEEF-CA1F-BABE-FEED-FEEDC0DEFACE-0-39;10.31